Ref,Summary,Type,Side,Status,Repo,Notes,JiraKey
BUG-10,A refused reservation is treated as a successful pick,Bug,FE,TO DO,cpp-ui-hearing,Do before STE testing. Latent until BUG-9 made refusals reachable.,
BUG-7,hearing.replicate-shared-results has no access-control rule,Bug,BE,TO DO,cpp-context-hearing,"NOT OURS - pre-existing, other feature owners. Static evidence only; confirm the 403 before acting.",
BUG-8,Four listing command-API actions have no access-control rule,Bug,BE,TO DO,cpp-context-listing,"NOT OURS - pre-existing, other feature owners. Static evidence only; confirm the 403 before acting.",
NEW-16,Let the session picker refuse sessions that are already full,Story,FE,TO DO,@cpp/scheduling (shared package),Nice to have. Owner: @cpp/scheduling package team. Not a show stopper; does not block release.,
BUG-1,Purge of expired reservations does not restore session capacity,Bug,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
BUG-2,"Reservations are returned as listed hearings, breaking court calendar pagination",Bug,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
BUG-3,The reservation is never released on the path listing actually uses at share,Bug,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler + cpp-context-listing,Ships as one change across two repos.,
BUG-4,The Crown pre-share check will break when NEW-11 lands,Bug,FE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-ui-hearing,,
BUG-5,courtscheduler.get.booking-status returned 403 to every caller,Bug,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,"Found by integration test, not review. Blocked NEW-7a + NEW-10 entirely.",
BUG-6,DatabaseReader never mapped booking_id,Bug,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
BUG-9,Reserve-a-slot removed the only capacity check and did not replace it,Bug,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-10,Expose the pre-share reservation check to the UI,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing,,
NEW-11,Reserve the session at the moment the clerk picks it,Story,FE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-ui-hearing,,
NEW-12,Release the hold when the clerk changes their mind,Story,FE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-ui-hearing,,
NEW-12a,Release command so the browser can give a hold back,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-hearing,,
NEW-13,The three clerk messages,Story,FE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-ui-hearing,,
NEW-14,Gate the share on the hold still existing,Story,FE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-ui-hearing,,
NEW-15,Re-picking a session gives back the one the clerk abandoned,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler + cpp-context-hearing,Ships as one change across two repos.,
NEW-17,"A Crown multi-day pick holds every day, not just the anchor",Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,User design decision. Follows the share path always-assign behaviour.,
NEW-3,"Provisional booking creates capacity-holding, expiring reservations",Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-4,"Resolve booking ids from reservations, with a permanent legacy fallback",Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-5,Release the reservation when a booking is confirmed,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-6,Accept duration on the provisional booking request,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-7,Endpoint to report whether a booking still has a live hold,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-7a,Booking status must tell an expired hold from an already-shared booking,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
NEW-8,Carry slot duration through to courtscheduler,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-hearing,,
NEW-9,Resolve Crown's bookingReference as a booking id,Story,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing,,
TEST-1,Integration coverage on the path listing actually uses,Task,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
TEST-2,RAML↔Drools access-control guards,Task,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",all three backends,"Implemented in courtscheduler, cpp-context-hearing and cpp-context-listing.",
TEST-3,The purge test proves capacity comes back,Task,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing-courtscheduler,,
TEST-4,Label the fail-open test's expected server error,Task,BE,"DONE - uncommitted (raise as In Review, NOT Ready for Test)",cpp-context-listing,,
DEC-1,Re-share semantics for the pre-share gate,Decision,,DO NOT CREATE,,"DO NOT CREATE - resolved, delivered as NEW-7a.",
DEC-2,"Is capacity enforced on reserve, or is overbooking allowed?",Decision,,DO NOT CREATE,,DO NOT CREATE - superseded by BUG-9; premise was wrong.,
